"scenario","exit","pending"
"exit_loading_1","0","12"
"exit_loading_2","0","12"
"exit_loading_3","0","12"
"exit_loading_4","0","12"
"exit_loading_5","0","12"
"exit_loading_6","0","12"
"exit_loading_7","0","12"
"exit_loading_8","0","12"
"exit_loading_9","0","12"
"exit_loading_10","0","12"
"exit_loading_11","0","12"
"exit_loading_12","0","12"
"exit_loading_13","0","12"
"exit_loading_14","0","12"
"exit_loading_15","0","12"
"exit_loading_16","0","12"
"exit_loading_17","0","12"
"exit_loading_18","0","12"
"exit_loading_19","0","12"
"exit_loading_20","0","12"
"restart_1","0","0"
"restart_2","0","0"
"restart_3","0","0"
"restart_4","0","0"
"restart_5","0","0"
"restart_6","0","0"
"restart_7","0","0"
"restart_8","0","0"
"restart_9","0","0"
"restart_10","0","0"
"restart_11","0","0"
"restart_12","0","0"
"restart_13","0","0"
"restart_14","0","0"
"restart_15","0","0"
"restart_16","0","0"
"restart_17","0","0"
"restart_18","0","0"
"restart_19","0","0"
"restart_20","0","0"
